wavelength	depth	depth_err
1.161926e+00	2.144914e-02	8.692671e-05
1.162581e+00	2.150825e-02	0.000000e+00
1.164906e+00	2.152731e-02	0.000000e+00
1.167236e+00	2.149688e-02	0.000000e+00
1.168584e+00	2.162597e-02	8.554740e-05
1.169571e+00	2.150564e-02	0.000000e+00
1.171910e+00	2.145444e-02	0.000000e+00
1.174254e+00	2.148132e-02	0.000000e+00
1.175243e+00	2.154258e-02	8.440785e-05
1.176511e+00	2.158160e-02	1.269500e-04
1.176602e+00	2.150821e-02	0.000000e+00
1.178955e+00	2.144375e-02	0.000000e+00
1.181313e+00	2.145518e-02	0.000000e+00
1.181904e+00	2.155171e-02	8.379103e-05
1.183535e+00	2.129831e-02	4.421594e-05
1.183676e+00	2.142169e-02	0.000000e+00
1.186043e+00	2.143996e-02	0.000000e+00
1.188415e+00	2.141526e-02	0.000000e+00
1.188567e+00	2.133100e-02	8.227298e-05
1.190792e+00	2.139670e-02	0.000000e+00
1.193174e+00	2.137251e-02	0.000000e+00
1.195190e+00	2.138119e-02	1.691300e-04
1.195231e+00	2.143598e-02	8.874256e-05
1.195560e+00	2.136895e-02	0.000000e+00
1.197951e+00	2.135684e-02	0.000000e+00
1.200347e+00	2.134630e-02	0.000000e+00
